"","date","company_name","city","county","number_active_cases","number_recovered_cases","total_number_of_cases","address","industry"
"5:146","2020-11-30","Nucor-Yamato Steel"," Blytheville"," Mississippi",5,29,34,NA,"Manufacturing"
"5:147","2020-11-30","Butterball"," Jonesboro"," Craighead",5,17,22,NA,"Manufacturing"
"5:148","2020-12-03","Tyson"," Green Forest"," Carroll",7,199,206,NA,"Manufacturing"
"5:149","2020-12-03","ConAgra"," Russellville"," Pope",6,231,237,NA,"Manufacturing"
"5:150","2020-12-03","Hytrol Conveyor Company"," Jonesboro"," Craighead",6,90,96,NA,"Manufacturing"
"5:151","2020-12-03","Tenneco Inc."," Paragould"," Greene",6,34,40,NA,"Manufacturing"
"5:152","2020-12-03","Tyson"," Waldron"," Scott",5,32,37,"Plant St.","Manufacturing"
"5:153","2020-12-07","Tyson"," Green Forest"," Carroll",11,204,215,NA,"Manufacturing"
"5:154","2020-12-07","Tyson"," Waldron"," Scott",11,39,50,"Plant St.","Manufacturing"
"5:155","2020-12-07","ConAgra"," Russellville"," Pope",10,229,239,NA,"Manufacturing"
"5:156","2020-12-07","ABB"," Ft Smith"," Sebastian",10,60,70,NA,"Manufacturing"
"5:157","2020-12-07","Tyson"," Van Buren"," Crawford",8,255,263,NA,"Manufacturing"
"5:158","2020-12-07","Tyson of Rogers"," Rogers"," Benton",7,301,308,"Elm St.","Manufacturing"
"5:159","2020-12-07","Tyson"," Clarksville"," Johnson",7,230,237,NA,"Manufacturing"
"5:160","2020-12-07","Tyson's Mexican Original"," Fayetteville"," Washington",7,99,106,NA,"Manufacturing"
"5:161","2020-12-07","Hytrol Conveyor Company"," Jonesboro"," Craighead",7,92,99,NA,"Manufacturing"
"5:162","2020-12-07","Frito Lay"," Jonesboro"," Craighead",7,91,98,NA,"Manufacturing"
"5:163","2020-12-07","Tyson"," Russellville"," Pope",6,95,101,"Tyler Rd.","Manufacturing"
"5:164","2020-12-07","Lockheed Martin"," Camden"," Ouachita",6,30,36,NA,"Manufacturing"
"5:165","2020-12-07","Tyson"," Dardanelle"," Yell",5,105,110,NA,"Manufacturing"
"5:166","2020-12-07","Wilson Combat Scattergun Tech"," Berryville"," Carroll",5,12,17,NA,"Manufacturing"
"5:167","2020-12-07","PotlatchDeltic"," Warren"," Bradley",5,11,16,NA,"Manufacturing"
"5:168","2020-12-10","Tyson"," Green Forest"," Carroll",20,208,228,NA,"Manufacturing"
"5:169","2020-12-10","ConAgra"," Russellville"," Pope",13,230,243,NA,"Manufacturing"
"5:170","2020-12-10","Tyson"," Clarksville"," Johnson",11,231,242,NA,"Manufacturing"
"5:171","2020-12-10","ABB"," Ft Smith"," Sebastian",9,63,72,NA,"Manufacturing"
"5:172","2020-12-10","DENSO Manufacturing"," Osceola"," Mississippi",7,60,67,NA,"Manufacturing"
"5:173","2020-12-10","Quality Voices"," Jonesboro"," Craighead",7,1,8,NA,"Other Services"
"5:174","2020-12-10","Tyson"," Dardanelle"," Yell",7,105,112,NA,"Manufacturing"
"5:175","2020-12-10","Tyson's Mexican Original"," Fayetteville"," Washington",7,102,109,NA,"Manufacturing"
"5:176","2020-12-10","Peco"," Pocahontas"," Randolph",6,90,96,NA,"Manufacturing"
"5:177","2020-12-10","American Greetings Co."," Osceola"," Mississippi",5,37,42,NA,"Manufacturing"
"5:178","2020-12-10","PotlatchDeltic"," Warren"," Bradley",5,12,17,NA,"Manufacturing"
"5:179","2020-12-10","Tyson"," Waldron"," Scott",5,45,50,"Plant St.","Manufacturing"
"5:180","2020-12-14","Tyson"," Green Forest"," Carroll",27,220,247,NA,"Manufacturing"
"5:181","2020-12-14","ConAgra"," Russellville"," Pope",19,237,256,NA,"Manufacturing"
"5:182","2020-12-14","Tyson"," Dardanelle"," Yell",13,109,122,NA,"Manufacturing"
"5:183","2020-12-14","Tyson"," Clarksville"," Johnson",12,234,246,NA,"Manufacturing"
"5:184","2020-12-14","ABB"," Ft Smith"," Sebastian",10,65,75,NA,"Manufacturing"
"5:185","2020-12-14","Tyson"," Waldron"," Scott",10,46,56,"Plant St.","Manufacturing"
"5:186","2020-12-14","Spirit Fitness"," Jonesboro"," Craighead",10,3,13,NA,"Manufacturing"
"5:187","2020-12-14","Tyson's Mexican Original"," Fayetteville"," Washington",9,105,114,NA,"Manufacturing"
"5:188","2020-12-14","Frito Lay"," Jonesboro"," Craighead",8,95,103,NA,"Manufacturing"
"5:189","2020-12-14","WeatherBarr Windows & Doors"," Ft Smith"," Sebastian",8,9,17,NA,"Manufacturing"
"5:190","2020-12-14","Tyson"," Russellville"," Pope",7,100,107,"Tyler Rd.","Manufacturing"
"5:191","2020-12-14","Hytrol Conveyor Company"," Jonesboro"," Craighead",7,97,104,NA,"Manufacturing"
"5:192","2020-12-14","DENSO Manufacturing"," Osceola"," Mississippi",7,60,67,NA,"Manufacturing"
"5:193","2020-12-14","Simmons Foods"," Siloam Springs"," Benton",6,110,116,NA,"Manufacturing"
"5:194","2020-12-14","Tyson"," Hope"," Hempstead",6,59,65,"275 Hempstead 278","Manufacturing"
"5:195","2020-12-14","American Greetings Co."," Osceola"," Mississippi",6,37,43,NA,"Manufacturing"
"5:196","2020-12-14","Tyson"," Van Buren"," Crawford",5,262,267,NA,"Manufacturing"
"5:197","2020-12-14","Wayne Farms"," Danville"," Yell",5,211,216,NA,"Manufacturing"
"5:198","2020-12-14","Peco"," Pocahontas"," Randolph",5,92,97,NA,"Manufacturing"
"5:199","2020-12-14","Husqvarna"," Nashville"," Howard",5,56,61,NA,"Manufacturing"
"5:200","2020-12-14","Utility Trailer Manufacturing Co."," Paragould"," Greene",5,34,39,NA,"Manufacturing"
"5:201","2020-12-14","Dassault Falcon Jet LLC"," Little Rock"," Pulaski",5,33,38,NA,"Manufacturing"
"5:202","2020-12-14","Tyson Corporate"," Springdale"," Washington",5,31,36,"Don Tyson Pkwy","Manufacturing"
"5:203","2020-12-14","Duke Custom Cabinets Inc."," Roland"," Pulaski",5,1,6,NA,"Manufacturing"
"5:204","2020-12-17","Frito Lay"," Jonesboro"," Craighead",12,92,104,NA,"Manufacturing"
"5:205","2020-12-17","ConAgra"," Russellville"," Pope",9,240,249,NA,"Manufacturing"
"5:206","2020-12-17","Tyson"," Green Forest"," Carroll",9,221,230,NA,"Manufacturing"
"5:207","2020-12-17","Tyson"," Dardanelle"," Yell",7,115,122,NA,"Manufacturing"
"5:208","2020-12-17","Tyson"," Berryville"," Carroll",7,59,66,NA,"Manufacturing"
"5:209","2020-12-17","Twin Rivers Foods"," Ft Smith"," Sebastian",7,40,47,NA,"Manufacturing"
"5:210","2020-12-17","Spirit Fitness"," Jonesboro"," Craighead",7,11,18,NA,"Manufacturing"
"5:211","2020-12-17","Tyson"," Clarksville"," Johnson",6,241,247,NA,"Manufacturing"
"5:212","2020-12-17","Husqvarna"," Nashville"," Howard",6,57,63,NA,"Manufacturing"
"5:213","2020-12-17","Unilever"," Jonesboro"," Craighead",6,23,29,NA,"Manufacturing"
"5:214","2020-12-17","Tyson"," Russellville"," Pope",5,97,102,"Tyler Rd.","Manufacturing"
"5:215","2020-12-17","Hytrol Conveyor Company"," Jonesboro"," Craighead",5,85,90,NA,"Manufacturing"
"5:216","2020-12-17","American Greetings Co."," Osceola"," Mississippi",5,40,45,NA,"Manufacturing"
"5:217","2020-12-17","Nice Pak"," Jonesboro"," Craighead",5,35,40,NA,"Manufacturing"
"5:218","2020-12-17","APAC-Central"," Fayetteville"," Washington",5,13,18,NA,"Manufacturing"
"5:219","2020-12-21","ConAgra"," Russellville"," Pope",9,259,268,NA,"Manufacturing"
"5:220","2020-12-21","Frito Lay"," Jonesboro"," Craighead",8,107,115,NA,"Manufacturing"
"5:221","2020-12-21","Tyson"," Berryville"," Carroll",7,79,86,NA,"Manufacturing"
"5:222","2020-12-21","Domtar Paper Co."," Ash Down"," Little River",6,26,32,NA,"Manufacturing"
"5:223","2020-12-21","Husqvarna"," Nashville"," Howard",6,62,68,NA,"Manufacturing"
"5:224","2020-12-21","Roehm America"," Osceola"," Mississippi",6,1,7,NA,"Manufacturing"
"5:225","2020-12-21","Twin Rivers Foods"," Atkins"," Pope",6,154,160,NA,"Manufacturing"
"5:226","2020-12-21","APAC-Central"," Fayetteville"," Washington",5,16,21,NA,"Manufacturing"
"5:227","2020-12-21","McKee Foods"," Gentry"," Benton",5,24,29,NA,"Manufacturing"
"5:228","2020-12-21","Tyson"," Dardanelle"," Yell",5,125,130,NA,"Manufacturing"
"5:229","2020-12-24","ConAgra"," Russellville"," Pope",15,265,280,NA,"Manufacturing"
"5:230","2020-12-24","Domtar Paper Co."," Ashdown"," Little River",11,30,41,NA,"Manufacturing"
"5:231","2020-12-24","Roehm America/Evonik"," Osceola"," Mississippi",11,2,13,NA,"Manufacturing"
"5:232","2020-12-24","Tyson of Rogers"," Rogers"," Benton",9,313,322,"Elm St.","Manufacturing"
"5:233","2020-12-24","Wayne Farms"," Danville"," Yell",9,221,230,NA,"Manufacturing"
"5:234","2020-12-24","Tyson"," Dardanelle"," Yell",9,127,136,NA,"Manufacturing"
"5:235","2020-12-24","Tyson's Chick-N-Quick"," Rogers"," Benton",9,96,105,"Olrich St.","Manufacturing"
"5:236","2020-12-24","Husqvarna"," Nashville"," Howard",9,62,71,NA,"Manufacturing"
"5:237","2020-12-24","Tyson"," Russellville"," Pope",8,112,120,"Tyler Rd.","Manufacturing"
"5:238","2020-12-24","Frito Lay"," Jonesboro"," Craighead",8,108,116,NA,"Manufacturing"
"5:239","2020-12-24","Nice Pak"," Jonesboro"," Craighead",7,42,49,NA,"Manufacturing"
"5:240","2020-12-24","Arkansas Nuclear One"," Russellville"," Pope",7,31,38,NA,"Utilities"
"5:241","2020-12-24","McKee Foods"," Gentry"," Benton",7,29,36,NA,"Manufacturing"
"5:242","2020-12-24","Peco"," Pocahontas"," Randolph",6,104,110,NA,"Manufacturing"
"5:243","2020-12-24","Shippers Products"," Fordyce"," Dallas",6,7,13,NA,"Manufacturing"
"5:244","2020-12-24","La-Z-Boy Furniture"," Siloam Springs"," Benton",6,1,7,NA,"Retail Trade"
"5:245","2020-12-24","Tyson"," Green Forest"," Carroll",5,259,264,NA,"Manufacturing"
"5:246","2020-12-24","Hytrol Conveyor Company"," Jonesboro"," Craighead",5,104,109,NA,"Manufacturing"
"5:247","2020-12-24","Tyson"," Berryville"," Carroll",5,88,93,NA,"Manufacturing"
"5:248","2020-12-28","Tyson's Chick-N-Quick"," Rogers"," Benton",9,103,112,"Olrich St.","Manufacturing"
"5:249","2020-12-28","Shelby Group International Inc."," Glenwood"," Pike",6,5,11,NA,"Manufacturing"
"5:250","2020-12-28","ConAgra"," Russellville"," Pope",5,276,281,NA,"Manufacturing"
"5:251","2020-12-28","Stephens Inc."," Little Rock"," Pulaski",5,7,12,NA,"Finance and Insurance"
"5:252","2020-12-31","ConAgra"," Russellville"," Pope",8,285,293,NA,"Manufacturing"
"5:253","2020-12-31","Tyson's Chick-N-Quick"," Rogers"," Benton",8,112,120,"Olrich St.","Manufacturing"
"5:254","2020-12-31","Tyson Corporate"," Springdale"," Washington",7,44,51,"Don Tyson Pkwy","Administrative and Support and Waste Management and
Remediation Services"
"5:255","2020-12-31","Tyson"," Springdale"," Washington",6,397,403,"Berry St.","Manufacturing"
"5:256","2020-12-31","Tyson"," Green Forest"," Carroll",5,271,276,NA,"Manufacturing"
"5:257","2020-12-31","Tyson"," Russellville"," Pope",5,124,129,"Tyler Rd.","Manufacturing"
"5:258","2021-01-04","ConAgra"," Russellville"," Pope",10,295,305,NA,"Manufacturing"
"5:259","2021-01-04","Tyson's Chick-N-Quick"," Rogers"," Benton",6,118,124,"Olrich St.","Manufacturing"
"5:260","2021-01-04","McKee Foods"," Gentry"," Benton",6,41,47,NA,"Manufacturing"
"5:261","2021-01-07","ConAgra"," Russellville"," Pope",20,296,316,NA,"Manufacturing"
"5:262","2021-01-07","Frito Lay"," Jonesboro"," Craighead",9,117,126,NA,"Manufacturing"
"5:263","2021-01-07","Dillar's Corporate Headquarters"," Little Rock"," Pulaski",8,13,21,NA,"Retail Trade"
"5:264","2021-01-07","George's Poultry"," Springdale"," Washington",8,86,94,"Kansas St.","Manufacturing"
"5:265","2021-01-07","Centene Corporation"," Little Rock"," Pulaski",7,14,21,NA,"Finance and Insurance"
"5:266","2021-01-07","McKee Foods"," Gentry"," Benton",7,46,53,NA,"Manufacturing"
"5:267","2021-01-07","Tyson's Chick-N-Quick"," Rogers"," Benton",7,119,126,"Olrich St.","Manufacturing"
"5:268","2021-01-07","PotlatchDeltic"," Ola"," Yell",6,13,19,NA,"Manufacturing"
"5:269","2021-01-07","Unilever"," Jonesboro"," Craighead",6,37,43,NA,"Manufacturing"
"5:270","2021-01-07","ABB"," Fort Smith"," Sebastian",5,84,89,NA,"Manufacturing"
"5:271","2021-01-07","American Greetings Co."," Osceola"," Mississippi",5,58,63,NA,"Manufacturing"
"5:272","2021-01-11","Tyson"," Waldron"," Scott",24,69,93,NA,"Manufacturing"
"5:273","2021-01-11","ConAgra"," Russellville"," Pope",12,303,315,NA,"Manufacturing"
"5:274","2021-01-11","Frito Lay"," Jonesboro"," Craighead",7,121,128,NA,"Manufacturing"
"5:275","2021-01-11","Gates Corportation"," Siloam Springs"," Benton",7,26,33,NA,"Manufacturing"
"5:276","2021-01-11","Twin Rivers Foods"," Atkins"," Pope",6,107,113,NA,"Manufacturing"
"5:277","2021-01-11","Tyson"," Clarksville"," Johnson",6,254,260,NA,"Manufacturing"
"5:278","2021-01-11","Tyson"," Dardanelle"," Yell",6,141,147,NA,"Manufacturing"
"5:279","2021-01-11","Centene Corporation"," Little Rock"," Pulaski",5,15,20,NA,"Finance and Insurance"
"5:280","2021-01-11","Clean Harbors Evnvironmental Services"," El Dorado"," Union",5,21,26,NA,"Administrative and Support and Waste Management and
Remediation Services"
"5:281","2021-01-11","Pet Solutions"," Danville"," Yell",5,12,17,NA,"Retail Trade"
"5:282","2021-01-11","Unilever"," Jonesboro"," Craighead",5,38,43,NA,"Manufacturing"
"5:283","2021-01-14","Tyson"," Waldron"," Scott",18,71,89,"Plant. St","Manufacturing"
"5:284","2021-01-14","Twin Rivers Foods"," Atkins"," Pope",10,112,122,NA,"Manufacturing"
"5:285","2021-01-14","ConAgra"," Russellville"," Pope",8,323,331,NA,"Manufacturing"
"5:286","2021-01-14","Tyson"," Van Buren"," Crawford",7,274,281,NA,"Manufacturing"
"5:287","2021-01-14","Gates Rubber Corportation"," Siloam Springs"," Benton",7,31,38,NA,"Manufacturing"
"5:288","2021-01-14","Tyson"," Dardanelle"," Yell",6,149,155,NA,"Manufacturing"
"5:289","2021-01-14","Hytrol Conveyor Company"," Jonesboro"," Craighead",6,115,121,NA,"Manufacturing"
"5:290","2021-01-14","Tyson"," Hope"," Hempstead",6,74,80,"275 Hempstead 278","Manufacturing"
"5:291","2021-01-14","Tyson"," Clarksville"," Johnson",5,261,266,NA,"Manufacturing"
"5:292","2021-01-14","Tyson"," Berryville"," Carroll",5,104,109,NA,"Manufacturing"
"5:293","2021-01-14","Unilever"," Jonesboro"," Craighead",5,38,43,NA,"Manufacturing"
"5:294","2021-01-14","Hooters"," North Little Rock"," Pulaski",5,3,8,NA,"Accommodation and Food Services"
"5:295","2021-01-18","Bell & Company"," North Little Rock"," Pulaski",7,2,9,NA,"Finance and Insurance"
"5:296","2021-01-18","ConAgra"," Russellville"," Pope",7,326,333,NA,"Manufacturing"
"5:297","2021-01-18","ConAgra/Pinnacle Foods"," Fayetteville"," Washington",5,54,59,NA,"Manufacturing"
"5:298","2021-01-18","Hytrol Conveyor Company"," Siloam Springs"," Benton",5,32,37,NA,"Manufacturing"
"5:299","2021-01-18","Gates Rubber Corportation"," Jonesboro"," Craighead",5,116,121,NA,"Manufacturing"
"5:300","2021-01-18","L'Oreal Manufacturing center"," North Little Rock"," Pulaski",5,11,16,NA,"Manufacturing"
"5:301","2021-01-18","Lockheed Martin"," Camden"," Ouachita",7,53,60,NA,"Manufacturing"
"5:302","2021-01-18","Twin Rivers Foods"," Atkins"," Pope",6,116,122,NA,"Manufacturing"
"5:303","2021-01-18","Tyson"," Hope"," Hempstead",7,78,85,"275 Hempstead 278","Manufacturing"
"5:304","2021-01-18","Tyson"," Springdale"," Washington",7,406,413,"Berry St.","Manufacturing"
"5:305","2021-01-18","Tyson"," Berryville"," Carroll",8,106,114,NA,"Manufacturing"
"5:306","2021-01-18","Tyson"," Clarksville"," Johnson",7,265,272,NA,"Manufacturing"
"5:307","2021-01-18","Tyson"," Dardanelle"," Yell",9,151,160,NA,"Manufacturing"
"5:308","2021-01-18","Tyson"," Green Forest"," Carroll",5,283,288,NA,"Manufacturing"
"5:309","2021-01-18","Tyson"," Waldron"," Scott",20,73,93,"Plant St.","Manufacturing"
"5:310","2021-01-21","Aerojet Rocketdyne"," Camden"," Ouachita",5,46,51,NA,"Manufacturing"
"5:311","2021-01-21","Bell & Company"," North Little Rock"," Pulaski",5,5,10,NA,"Finance and Insurance"
"5:312","2021-01-21","ConAgra"," Russellville"," Pope",5,331,336,NA,"Manufacturing"
"5:313","2021-01-21","Tyson"," Springdale"," Washington",7,408,415,"Berry St.","Manufacturing"
"5:314","2021-01-21","Tyson"," Berryville"," Carroll",7,112,119,NA,"Manufacturing"
"5:315","2021-01-21","Tyson"," Clarksville"," Johnson",5,269,274,NA,"Manufacturing"
"5:316","2021-01-21","Tyson"," Dardanelle"," Yell",6,154,160,NA,"Manufacturing"
"5:317","2021-01-25","City of Camden"," Camden"," Ouachita",6,2,8,NA,"Public Administration"
"5:318","2021-01-25","ConAgra"," Russellville"," Pope",6,333,339,NA,"Manufacturing"
"5:319","2021-01-25","Lennox Industries"," Stuttgart"," Arkansas",5,80,85,NA,"Manufacturing"
"5:320","2021-01-25","Lockheed Martin"," Camden"," Ouachita",7,62,69,NA,"Manufacturing"
"5:321","2021-01-25","Tyson"," Hope"," Hempstead",5,85,90,"275 Hempstead 278","Manufacturing"
"5:322","2021-01-25","Tyson"," Springdale"," Washington",6,410,416,"Berry St.","Manufacturing"
"5:323","2021-01-25","Tyson"," Clarksville"," Johnson",10,272,282,NA,"Manufacturing"
"5:324","2021-01-25","Tyson"," Dardanelle"," Yell",8,158,166,NA,"Manufacturing"
"5:325","2021-01-25","Tyson"," Nashville"," Howard",11,92,103,NA,"Manufacturing"
"5:326","2021-01-28","ConAgra"," Russellville"," Pope",5,337,342,NA,"Manufacturing"
"5:327","2021-01-28","Dassault Falcon Jet LLC"," Little Rock"," Pulaski",6,54,60,NA,"Manufacturing"
"5:328","2021-01-28","Lockheed Martin"," Camden"," Ouachita",6,64,70,NA,"Manufacturing"
"5:329","2021-01-28","Tyson"," Clarksville"," Johnson",8,276,284,NA,"Manufacturing"
"5:330","2021-01-28","Tyson"," Nashville"," Howard",12,97,109,NA,"Manufacturing"
"5:331","2021-02-01","Dassault Falcon Jet LLC"," Little Rock"," Pulaski",7,56,63,NA,"Manufacturing"
"5:332","2021-02-01","SYKES Enterprises Call Center"," Ft Smith"," Sebastian",6,23,29,NA,"Administrative and Support and Waste Management and
Remediation Services"
"5:333","2021-02-01","Tyson"," Nashville"," Howard",9,106,115,NA,"Manufacturing"
"5:334","2021-02-01","Welspun Pipes Inc."," Little Rock"," Pulaski",5,33,38,NA,"Manufacturing"
"5:335","2021-02-04","Tyson"," Nashville"," Howard",7,117,124,NA,"Manufacturing"
"5:336","2021-02-04","Welspun Pipes Inc."," Little Rock"," Pulaski",6,33,39,NA,"Manufacturing"
"5:337","2021-02-04","Dillards Fulfillment Center"," Stuttgart"," Arkansas",5,59,64,NA,"Manufacturing"
"5:338","2021-02-04","Riceland Foods"," Ft Smith"," Sebastian",5,26,31,NA,"Other Services"
"5:339","2021-02-04","SYKES Enterprises Call Center"," Maumelle"," Pulaski",5,7,12,NA,"Retail Trade"
"5:340","2021-02-08","Claudia's Canine Bakery"," Maumelle"," Pulaski",10,9,19,NA,"Manufacturing"
"5:341","2021-02-08","ConAgra"," Russellville"," Pope",6,345,351,NA,"Manufacturing"
"5:342","2021-02-08","De Wafelbakkers"," North Little Rock"," Pulaski",6,34,40,NA,"Manufacturing"
"5:343","2021-02-08","Great Dane Trailers"," Jonesboro"," Craighead",5,27,32,NA,"Manufacturing"
"5:344","2021-02-08","Lamb & Associates Packaging"," Maumelle"," Pulaski",5,7,12,NA,"Manufacturing"
"5:345","2021-02-08","Lockheed Martin"," Camden"," Ouachita",6,71,77,NA,"Manufacturing"
"5:346","2021-02-08","Tyson Corporate"," Springdale"," Washington",5,70,75,"Don Tyson Pkwy","Administrative and Support and Waste Management and
Remediation Services"
"5:347","2021-02-08","Tyson"," Nashville"," Howard",5,116,121,NA,"Manufacturing"
"5:348","2021-02-11","Claudia's Canine Bakery"," Maumelle"," Pulaski",9,10,19,NA,"Manufacturing"
"5:349","2021-02-11","ConAgra"," Russellville"," Pope",6,347,353,NA,"Manufacturing"
"5:350","2021-02-11","De Wafelbakkers"," North Little Rock"," Pulaski",6,37,43,NA,"Manufacturing"
"5:351","2021-02-11","Great Dane Trailers"," Jonesboro"," Craighead",8,27,35,NA,"Manufacturing"
"5:352","2021-02-11","Lamb & Associates Packaging"," Maumelle"," Pulaski",6,9,15,NA,"Manufacturing"
"5:353","2021-02-11","Lockheed Martin"," Camden"," Ouachita",6,72,78,NA,"Manufacturing"
"5:354","2021-02-11","SYKES Enterprises Call Center"," Ft Smith"," Sebastian",5,30,35,NA,"Administrative and Support and Waste Management and
Remediation Services"
"5:355","2021-02-22",NA," Mountain Home"," Baxter",5,1,6,NA,"Manufacturing"
